Año,Trimestre,Provincia,Mbps (Media de bajada),,
2018,3,Córdoba,15,,
2018,3,Corrientes,11,,
2018,3,Entre Ríos,11,,
2018,3,Formosa,9,,
2018,3,Jujuy,8,,
2018,3,La Pampa,4,,
2018,3,La Rioja,6,,
2018,3,Mendoza,6,,
2018,3,Misiones,12,,
2018,3,Neuquén,15,,
2018,3,Río Negro,10,,
2018,3,Salta,9,,
2018,3,San Juan,6,,
2018,3,San Luis,9,,
2018,3,Santa Cruz,5,,
2018,3,Santa Fe,12,,
2018,3,Santiago Del Estero,6,,
2018,3,Tierra Del Fuego,6,,
2018,3,Tucumán,15,,
2018,2,Buenos Aires,15,,
2018,2,Capital Federal,19,,
2018,2,Catamarca,8,,
2018,2,Chaco,12,,
2018,2,Chubut,5,,
2018,2,Córdoba,14,,
2018,2,Corrientes,11,,
2018,2,Entre Ríos,10,,
2018,2,Formosa,9,,
2018,2,Jujuy,6,,
2018,2,La Pampa,4,,
2018,2,La Rioja,6,,
2018,2,Mendoza,6,,
2018,2,Misiones,12,,
2018,2,Neuquén,13,,
2018,2,Río Negro,10,,
2018,2,Salta,9,,
2018,2,San Juan,6,,
2018,2,San Luis,6,,
2018,2,Santa Cruz,5,,
2018,2,Santa Fe,12,,
2018,2,Santiago Del Estero,6,,
2018,2,Tierra Del Fuego,6,,
2018,2,Tucumán,14,,
2018,1,Buenos Aires,14,,
2018,1,Capital Federal,18,,
2018,1,Catamarca,8,,
2018,1,Chaco,12,,
2018,1,Chubut,5,,
2018,1,Córdoba,13,,
2018,1,Corrientes,11,,
2018,1,Entre Ríos,10,,
2018,1,Formosa,11,,
2018,1,Jujuy,7,,
2018,1,La Pampa,4,,
2018,1,La Rioja,6,,
2018,1,Mendoza,6,,
2018,1,Misiones,12,,
2018,1,Neuquén,12,,
2018,1,Río Negro,9,,
2018,1,Salta,9,,
2018,1,San Juan,6,,
2018,1,San Luis,6,,
2018,1,Santa Cruz,5,,
2018,1,Santa Fe,11,,
2018,1,Santiago Del Estero,6,,
2018,1,Tierra Del Fuego,6,,
2018,1,Tucumán,9,,
2017,4,Buenos Aires,13,,
2017,4,Capital Federal,15,,
2017,4,Catamarca,8,,
2017,4,Chaco,12,,
2017,4,Chubut,5,,
2017,4,Córdoba,12,,
2017,4,Corrientes,10,,
2017,4,Entre Ríos,9,,
2017,4,Formosa,10,,
2017,4,Jujuy,7,,
2017,4,La Pampa,4,,
2017,4,La Rioja,6,,
2017,4,Mendoza,6,,
2017,4,Misiones,11,,
2017,4,Neuquén,11,,
2017,4,Río Negro,8,,
2017,4,Salta,8,,
2017,4,San Juan,6,,
2017,4,San Luis,6,,
2017,4,Santa Cruz,5,,
2017,4,Santa Fe,10,,
2017,4,Santiago Del Estero,6,,
2017,4,Tierra Del Fuego,5,,
2017,4,Tucumán,9,,
2017,3,Buenos Aires,8,,
2017,3,Capital Federal,11,,
2017,3,Catamarca,5,,
2017,3,Chaco,8,,
2017,3,Chubut,3,,
2017,3,Córdoba,9,,
2017,3,Corrientes,7,,
2017,3,Entre Ríos,7,,
2017,3,Formosa,7,,
2017,3,Jujuy,5,,
2017,3,La Pampa,3,,
2017,3,La Rioja,5,,
2017,3,Mendoza,4,,
2017,3,Misiones,8,,
2017,3,Neuquén,8,,
2017,3,Río Negro,5,,
2017,3,Salta,6,,
2017,3,San Juan,3,,
2017,3,San Luis,4,,
2017,3,Santa Cruz,4,,
2017,3,Santa Fe,8,,
2017,3,Santiago Del Estero,5,,
2017,3,Tierra Del Fuego,3,,
2017,3,Tucumán,6,,
2017,2,Buenos Aires,7,,
2017,2,Capital Federal,9,,
2017,2,Catamarca,5,,
2017,2,Chaco,8,,
2017,2,Chubut,3,,
2017,2,Córdoba,7,,
2017,2,Corrientes,7,,
2017,2,Entre Ríos,6,,
2017,2,Formosa,6,,
2017,2,Jujuy,5,,
2017,2,La Pampa,3,,
2017,2,La Rioja,6,,
2017,2,Mendoza,4,,
2017,2,Misiones,8,,
2017,2,Neuquén,7,,
2017,2,Río Negro,5,,
2017,2,Salta,6,,
2017,2,San Juan,3,,
2017,2,San Luis,4,,
2017,2,Santa Cruz,4,,
2017,2,Santa Fe,7,,
2017,2,Santiago Del Estero,5,,
2017,2,Tierra Del Fuego,3,,
2017,2,Tucumán,6,,
2017,1,Buenos Aires,7,,
2017,1,Capital Federal,8,,
2017,1,Catamarca,5,,
2017,1,Chaco,7,,
2017,1,Chubut,3,,
2017,1,Córdoba,7,,
2017,1,Corrientes,6,,
2017,1,Entre Ríos,6,,
2017,1,Formosa,6,,
2017,1,Jujuy,4,,
2017,1,La Pampa,3,,
2017,1,La Rioja,5,,
2017,1,Mendoza,4,,
2017,1,Misiones,7,,
2017,1,Neuquén,6,,
2017,1,Río Negro,4,,
2017,1,Salta,5,,
2017,1,San Juan,3,,
2017,1,San Luis,4,,
2017,1,Santa Cruz,4,,
2017,1,Santa Fe,6,,
2017,1,Santiago Del Estero,5,,
2017,1,Tierra Del Fuego,3,,
2017,1,Tucumán,6,,
2016,4,Buenos Aires,6,,
2016,4,Capital Federal,8,,
2016,4,Catamarca,5,,
2016,4,Chaco,7,,
2016,4,Chubut,3,,
2016,4,Córdoba,6,,
2016,4,Corrientes,6,,
2016,4,Entre Ríos,6,,
2016,4,Formosa,6,,
2016,4,Jujuy,4,,
2016,4,La Pampa,3,,
2016,4,La Rioja,5,,
2016,4,Mendoza,4,,
2016,4,Misiones,7,,
2016,4,Neuquén,6,,
2016,4,Río Negro,4,,
2016,4,Salta,5,,
2016,4,San Juan,3,,
2016,4,San Luis,4,,
2016,4,Santa Cruz,4,,
2016,4,Santa Fe,6,,
2016,4,Santiago Del Estero,5,,
2016,4,Tierra Del Fuego,3,,
2016,4,Tucumán,6,,
2016,3,Buenos Aires,6,,
2016,3,Capital Federal,7,,
2016,3,Catamarca,5,,
2016,3,Chaco,7,,
2016,3,Chubut,3,,
2016,3,Córdoba,6,,
2016,3,Corrientes,6,,
2016,3,Entre Ríos,6,,
2016,3,Formosa,5,,
2016,3,Jujuy,4,,
2016,3,La Pampa,3,,
2016,3,La Rioja,5,,
2016,3,Mendoza,4,,
2016,3,Misiones,7,,
2016,3,Neuquén,5,,
2016,3,Río Negro,4,,
2016,3,Salta,5,,
2016,3,San Juan,3,,
2016,3,San Luis,4,,
2016,3,Santa Cruz,4,,
2016,3,Santa Fe,6,,
2016,3,Santiago Del Estero,5,,
2016,3,Tierra Del Fuego,3,,
2016,3,Tucumán,6,,
2016,2,Buenos Aires,5,,
2016,2,Capital Federal,7,,
2016,2,Catamarca,4,,
2016,2,Chaco,6,,
2016,2,Chubut,3,,
2016,2,Córdoba,6,,
2016,2,Corrientes,6,,
2016,2,Entre Ríos,5,,
2016,2,Formosa,5,,
2016,2,Jujuy,4,,
2016,2,La Pampa,3,,
2016,2,La Rioja,5,,
2016,2,Mendoza,4,,
2016,2,Misiones,6,,
2016,2,Neuquén,5,,
2016,2,Río Negro,4,,
2016,2,Salta,5,,
2016,2,San Juan,3,,
2016,2,San Luis,4,,
2016,2,Santa Cruz,4,,
2016,2,Santa Fe,5,,
2016,2,Santiago Del Estero,4,,
2016,2,Tierra Del Fuego,3,,
2016,2,Tucumán,5,,
2016,1,Buenos Aires,5,,
2016,1,Capital Federal,6,,
2016,1,Catamarca,4,,
2016,1,Chaco,6,,
2016,1,Chubut,3,,
2016,1,Córdoba,5,,
2016,1,Corrientes,5,,
2016,1,Entre Ríos,5,,
2016,1,Formosa,5,,
2016,1,Jujuy,4,,
2016,1,La Pampa,3,,
2016,1,La Rioja,5,,
2016,1,Mendoza,4,,
2016,1,Misiones,6,,
2016,1,Neuquén,4,,
2016,1,Río Negro,4,,
2016,1,Salta,5,,
2016,1,San Juan,3,,
2016,1,San Luis,4,,
2016,1,Santa Cruz,3,,
2016,1,Santa Fe,5,,
2016,1,Santiago Del Estero,4,,
2016,1,Tierra Del Fuego,3,,
2016,1,Tucumán,5,,
2015,4,Buenos Aires,5,,
2015,4,Capital Federal,6,,
2015,4,Catamarca,4,,
2015,4,Chaco,6,,
2015,4,Chubut,3,,
2015,4,Córdoba,5,,
2015,4,Corrientes,5,,
2015,4,Entre Ríos,5,,
2015,4,Formosa,5,,
2015,4,Jujuy,4,,
2015,4,La Pampa,3,,
2015,4,La Rioja,5,,
2015,4,Mendoza,4,,
2015,4,Misiones,6,,
2015,4,Neuquén,4,,
2015,4,Río Negro,4,,
2015,4,Salta,5,,
2015,4,San Juan,3,,
2015,4,San Luis,4,,
2015,4,Santa Cruz,3,,
2015,4,Santa Fe,5,,
2015,4,Santiago Del Estero,4,,
2015,4,Tierra Del Fuego,3,,
2015,4,Tucumán,5,,
2015,3,Buenos Aires,5,,
2015,3,Capital Federal,6,,
2015,3,Catamarca,4,,
2015,3,Chaco,5,,
2015,3,Chubut,3,,
2015,3,Córdoba,5,,
2015,3,Corrientes,5,,
2015,3,Entre Ríos,5,,
2015,3,Formosa,4,,
2015,3,Jujuy,4,,
2015,3,La Pampa,3,,
2015,3,La Rioja,4,,
2015,3,Mendoza,4,,
2015,3,Misiones,6,,
2015,3,Neuquén,4,,
2015,3,Río Negro,4,,
2015,3,Salta,4,,
2015,3,San Juan,3,,
2015,3,San Luis,4,,
2015,3,Santa Cruz,3,,
2015,3,Santa Fe,5,,
2015,3,Santiago Del Estero,4,,
2015,3,Tierra Del Fuego,3,,
2015,3,Tucumán,5,,
2015,2,Buenos Aires,4,,
2015,2,Capital Federal,5,,
2015,2,Catamarca,4,,
2015,2,Chaco,5,,
2015,2,Chubut,3,,
2015,2,Córdoba,5,,
2015,2,Corrientes,5,,
2015,2,Entre Ríos,5,,
2015,2,Formosa,4,,
2015,2,Jujuy,3,,
2015,2,La Pampa,3,,
2015,2,La Rioja,4,,
2015,2,Mendoza,4,,
2015,2,Misiones,5,,
2015,2,Neuquén,4,,
2015,2,Río Negro,4,,
2015,2,Salta,4,,
2015,2,San Juan,3,,
2015,2,San Luis,4,,
2015,2,Santa Cruz,3,,
2015,2,Santa Fe,4,,
2015,2,Santiago Del Estero,4,,
2015,2,Tierra Del Fuego,3,,
2015,2,Tucumán,4,,
2015,1,Buenos Aires,4,,
2015,1,Capital Federal,5,,
2015,1,Catamarca,3,,
2015,1,Chaco,5,,
2015,1,Chubut,3,,
2015,1,Córdoba,4,,
2015,1,Corrientes,5,,
2015,1,Entre Ríos,4,,
2015,1,Formosa,3,,
2015,1,Jujuy,3,,
2015,1,La Pampa,3,,
2015,1,La Rioja,4,,
2015,1,Mendoza,4,,
2015,1,Misiones,5,,
2015,1,Neuquén,4,,
2015,1,Río Negro,4,,
2015,1,Salta,4,,
2015,1,San Juan,3,,
2015,1,San Luis,4,,
2015,1,Santa Cruz,3,,
2015,1,Santa Fe,4,,
2015,1,Santiago Del Estero,4,,
2015,1,Tierra Del Fuego,3,,
2015,1,Tucumán,4,,
2014,4,Buenos Aires,4,,
2014,4,Capital Federal,5,,
2014,4,Catamarca,3,,
2014,4,Chaco,4,,
2014,4,Chubut,3,,
2014,4,Córdoba,4,,
2014,4,Corrientes,4,,
2014,4,Entre Ríos,4,,
2014,4,Formosa,3,,
2014,4,Jujuy,3,,
2014,4,La Pampa,3,,
2014,4,La Rioja,4,,
2014,4,Mendoza,4,,
2014,4,Misiones,4,,
2014,4,Neuquén,4,,
2014,4,Río Negro,4,,
2014,4,Salta,4,,
2014,4,San Juan,3,,
2014,4,San Luis,4,,
2014,4,Santa Cruz,3,,
2014,4,Santa Fe,4,,
2014,4,Santiago Del Estero,3,,
2014,4,Tierra Del Fuego,3,,
2014,4,Tucumán,4,,
2014,3,Buenos Aires,4,,
2014,3,Capital Federal,4,,
2014,3,Catamarca,3,,
2014,3,Chaco,3,,
2014,3,Chubut,3,,
2014,3,Córdoba,4,,
2014,3,Corrientes,3,,
2014,3,Entre Ríos,3,,
2014,3,Formosa,3,,
2014,3,Jujuy,3,,
2014,3,La Pampa,3,,
2014,3,La Rioja,3,,
2014,3,Mendoza,4,,
2014,3,Misiones,4,,
2014,3,Neuquén,4,,
2014,3,Río Negro,3,,
2014,3,Salta,3,,
2014,3,San Juan,3,,
2014,3,San Luis,4,,
2014,3,Santa Cruz,3,,
2014,3,Santa Fe,3,,
2014,3,Santiago Del Estero,3,,
2014,3,Tierra Del Fuego,3,,
2014,3,Tucumán,3,,
2014,2,Buenos Aires,4,,
2014,2,Capital Federal,4,,
2014,2,Catamarca,3,,
2014,2,Chaco,3,,
2014,2,Chubut,3,,
2014,2,Córdoba,4,,
2014,2,Corrientes,3,,
2014,2,Entre Ríos,3,,
2014,2,Formosa,3,,
2014,2,Jujuy,3,,
2014,2,La Pampa,3,,
2014,2,La Rioja,3,,
2014,2,Mendoza,4,,
2014,2,Misiones,4,,
2014,2,Neuquén,4,,
2014,2,Río Negro,3,,
2014,2,Salta,3,,
2014,2,San Juan,3,,
2014,2,San Luis,4,,
2014,2,Santa Cruz,3,,
2014,2,Santa Fe,3,,
2014,2,Santiago Del Estero,3,,
2014,2,Tierra Del Fuego,3,,
2014,2,Tucumán,3,,
2014,1,Buenos Aires,4,,
2014,1,Capital Federal,4,,
2014,1,Catamarca,3,,
2014,1,Chaco,3,,
2014,1,Chubut,3,,
2014,1,Córdoba,3,,
2014,1,Corrientes,3,,
2014,1,Entre Ríos,3,,
2014,1,Formosa,3,,
2014,1,Jujuy,3,,
2014,1,La Pampa,3,,
2014,1,La Rioja,3,,
2014,1,Mendoza,4,,
2014,1,Misiones,3,,
2014,1,Neuquén,4,,
2014,1,Río Negro,3,,
2014,1,Salta,3,,
2014,1,San Juan,3,,
2014,1,San Luis,4,,
2014,1,Santa Cruz,3,,
2014,1,Santa Fe,3,,
2014,1,Santiago Del Estero,3,,
2014,1,Tierra Del Fuego,3,,
2014,1,Tucumán,3,,
