Provincia,Partido,Localidad,Link Indec,ADSL,CABLEMODEM,DIAL UP,FIBRA OPTICA,OTROS,SATELITAL,WIMAX,WIRELESS,Total general,
BUENOS AIRES,Almirante Brown,Malvinas Argentinas,6028010,2,5.311,3,54,2,- 0,- 0,1,5.373,
BUENOS AIRES,Almirante Brown,Ministro Rivadavia,6028010,3,3.418,4,4.066,4,- 0,- 0,1,7.496,
BUENOS AIRES,Almirante Brown,Rafael Calzada,6028010,37,10.375,15,9.925,193,- 0,- 0,340,20.885,
BUENOS AIRES,Almirante Brown,San Francisco Solano,6028010,26,4.232,4,3.261,131,- 0,- 0,2,7.656,
BUENOS AIRES,Almirante Brown,San Jose,6028010,3,9.174,2,195,- 0,3,- 0,1,9.378,
BUENOS AIRES,Arrecifes,Arrecifes,6077010,906,1.127,12,4.393,60,1,- 0,1.882,8.381,
BUENOS AIRES,Arrecifes,Todd,6077020,- 0,- 0,- 0,304,- 0,- 0,- 0,- 0,304,
BUENOS AIRES,Arrecifes,Viña,6077030,50,60,- 0,- 0,- 0,- 0,- 0,- 0,110,
BUENOS AIRES,Avellaneda,Avellaneda,6035010,1.486,8.698,48,5.769,68,5,- 0,87,16.161,
BUENOS AIRES,Avellaneda,Crucesita,6035010,1,4.956,- 0,2.723,2,- 0,- 0,- 0,7.682,
BUENOS AIRES,Avellaneda,Dock Sud,6035010,11,664,- 0,2.421,12,- 0,- 0,26,3.134,
BUENOS AIRES,Avellaneda,Gerli,6035010,3,6.053,- 0,4.334,- 0,- 0,- 0,- 0,10.390,
BUENOS AIRES,Avellaneda,Pineyro,6035010,9,5.981,1,2.324,- 0,- 0,- 0,- 0,8.315,
BUENOS AIRES,Avellaneda,Sarandí,6035010,1.935,10.031,67,11.628,4,2,- 0,1,23.668,
BUENOS AIRES,Avellaneda,Villa Domínico,6035010,16,8.928,2,6.819,11,- 0,- 0,191,15.967,
BUENOS AIRES,Avellaneda,Wilde,6035010,2.052,12.587,66,12.956,8,- 0,- 0,- 0,27.669,
BUENOS AIRES,Ayacucho,Ayacucho,6042010,2.053,- 0,2,- 0,- 0,- 0,- 0,139,2.194,
BUENOS AIRES,Ayacucho,La Constancia,6042020,- 0,- 0,- 0,- 0,- 0,- 0,- 0,10,10,
BUENOS AIRES,Ayacucho,Solanet,6042030,- 0,- 0,- 0,- 0,- 0,- 0,- 0,27,27,
BUENOS AIRES,Ayacucho,Udaquiola,6042040,- 0,- 0,- 0,- 0,- 0,1,- 0,46,47,
BUENOS AIRES,Azul,Azul,6049020,2.424,13.779,51,56,65,2,- 0,1.145,17.522,
BUENOS AIRES,Azul,Cacharí,6049030,- 0,- 0,2,- 0,- 0,- 0,- 0,521,523,
BUENOS AIRES,Azul,Chillar,6049040,- 0,- 0,- 0,- 0,- 0,1,- 0,565,566,
BUENOS AIRES,Bahía Blanca,Bahía Blanca,6056010,4.690,103.773,402,9.084,463,7,- 0,2.824,121.243,
BUENOS AIRES,Bahía Blanca,Cabildo,6056020,- 0,193,4,6,5,- 0,- 0,153,361,
BUENOS AIRES,Bahía Blanca,General Daniel Cerri  (Est. General Cerri),6056030,373,1.481,1,- 0,- 0,- 0,- 0,20,1.875,
BUENOS AIRES,Bahía Blanca,Ingeniero White,6056020,- 0,- 0,- 0,1,- 0,4,- 0,- 0,5,
BUENOS AIRES,Balcarce,Balcarce,6063010,1.503,11.047,38,37,47,- 0,- 0,883,13.555,
BUENOS AIRES,Balcarce,Los Pinos,6063020,- 0,- 0,- 0,- 0,9,- 0,- 0,30,39,
BUENOS AIRES,Balcarce,Napaleofú,6063030,- 0,- 0,- 0,15,- 0,- 0,- 0,50,65,
BUENOS AIRES,Balcarce,Ramos Otero,6063040,- 0,- 0,- 0,- 0,- 0,- 0,- 0,8,8,
BUENOS AIRES,Balcarce,San Agustín,6063050,- 0,- 0,- 0,- 0,3,- 0,- 0,72,75,
BUENOS AIRES,Balcarce,Villa Laguna La Brava,6063060,- 0,- 0,- 0,- 0,- 0,- 0,- 0,34,34,
BUENOS AIRES,Baradero,Baradero,6070010,1.882,6.807,- 0,3,- 0,1,- 0,809,9.502,
BUENOS AIRES,Baradero,Villa Alsina  (Est. Alsina),6070040,127,- 0,- 0,- 0,- 0,- 0,- 0,150,277,
BUENOS AIRES,Baradero,Irineo Portela,6070020,- 0,- 0,- 0,1,- 0,1,- 0,76,78,
BUENOS AIRES,Baradero,Santa Coloma,6070030,- 0,- 0,- 0,- 0,- 0,- 0,- 0,53,53,
BUENOS AIRES,Benito Juárez,Barker,6084010,- 0,- 0,1,10,- 0,2,- 0,70,83,
BUENOS AIRES,Benito Juárez,Benito Juárez  (Est. Juárez),6084020,782,- 0,20,563,4,1,- 0,147,1.517,
BUENOS AIRES,Benito Juárez,López,6084030,- 0,- 0,- 0,4,- 0,- 0,- 0,12,16,
BUENOS AIRES,Benito Juárez,Villa Cacique  (Est. Alfredo Fortabat),6084050,- 0,- 0,- 0,20,- 0,1,- 0,100,121,
BUENOS AIRES,Berazategui,Berazategui,6091010,1.620,18.057,42,24.092,57,4,- 0,49,43.921,
BUENOS AIRES,Berazategui,Berazategui Oeste,6091010,16,79,- 0,15.170,- 0,- 0,- 0,- 0,15.265,
BUENOS AIRES,Berazategui,Carlos Tomás Sourigues,6091010,17,1.485,- 0,1.605,- 0,- 0,- 0,- 0,3.107,
BUENOS AIRES,Berazategui,Centro Agrícola El Pato,6091010,2.031,1.291,- 0,- 0,- 0,- 0,- 0,16,3.338,
BUENOS AIRES,Berazategui,Guillermo E. Hudson,6091010,133,6.657,2,8.962,3,- 0,- 0,- 0,15.757,
BUENOS AIRES,Berazategui,Juan María Gutierrez,6091010,501,2.376,4,3.072,- 0,- 0,- 0,44,5.997,
BUENOS AIRES,Berazategui,Pereyra,6091010,9,236,1,310,- 0,- 0,- 0,- 0,556,
BUENOS AIRES,Berazategui,Plátanos,6091010,- 0,1.960,- 0,2.161,1,- 0,- 0,- 0,4.122,
BUENOS AIRES,Berazategui,Ranelagh,6091010,39,2.962,13,7.344,- 0,1,- 0,- 0,10.359,
BUENOS AIRES,Berazategui,Villa España,6091010,2,1.270,- 0,2.040,- 0,- 0,- 0,- 0,3.312,
BUENOS AIRES,Berisso,Berisso,6098010,4.198,12.465,23,6.195,29,- 0,- 0,368,23.278,
BUENOS AIRES,Berisso,Villa Nueva,6098010,- 0,- 0,- 0,132,- 0,- 0,- 0,250,382,
BUENOS AIRES,Berisso,Barrio El Carmen (Este),6098010,- 0,- 0,- 0,132,- 0,- 0,- 0,250,382,
BUENOS AIRES,Berisso,Villa Arguello,6098010,- 0,- 0,- 0,132,- 0,- 0,- 0,250,382,
BUENOS AIRES,Berisso,Villa Progreso,6098010,- 0,- 0,- 0,132,- 0,- 0,- 0,250,382,
BUENOS AIRES,Bolívar,OTROS,Sin Datos,- 0,1,- 0,1,- 0,- 0,- 0,- 0,2,
BUENOS AIRES,Bolívar,Pirovano,6105050,- 0,- 0,- 0,- 0,50,- 0,- 0,45,95,
BUENOS AIRES,Bolívar,San Carlos de Bolívar  (Est. Bolívar),6105060,963,5.122,2,- 0,- 0,- 0,- 0,255,6.342,
BUENOS AIRES,Bolívar,Urdampilleta,6105070,- 0,- 0,6,2,6,- 0,- 0,71,85,
BUENOS AIRES,Bolívar,Paula,6105040,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
BUENOS AIRES,Bolívar,Hale,6105010,10,- 0,- 0,- 0,- 0,- 0,- 0,- 0,10,
BUENOS AIRES,Bragado,Bragado,6112010,674,4.209,10,45,- 0,- 0,- 0,210,5.148,
BUENOS AIRES,Bragado,General O'Brien,6112030,321,- 0,- 0,83,- 0,- 0,- 0,31,435,
BUENOS AIRES,Bragado,Irala,6112040,- 0,3,- 0,- 0,- 0,- 0,- 0,22,25,
BUENOS AIRES,Bragado,Mechita (Est. Mecha),6112070,10,12,- 0,- 0,- 0,- 0,- 0,12,34,
BUENOS AIRES,Bragado,Warnes,6112090,135,- 0,- 0,- 0,9,- 0,- 0,7,151,
BUENOS AIRES,Bragado,Comodoro Py,6112020,- 0,- 0,- 0,220,- 0,- 0,- 0,2,222,
BUENOS AIRES,Bragado,Olascoaga,6112080,- 0,- 0,- 0,- 0,- 0,- 0,- 0,40,40,
BUENOS AIRES,Brandsen,Coronel Brandsen,6119050,1.805,5,- 0,1.480,2,- 0,- 0,1.135,4.427,
BUENOS AIRES,Brandsen,Jeppener,6119070,676,- 0,- 0,2,- 0,- 0,- 0,- 0,678,
BUENOS AIRES,Campana,Campana,6126030,2.242,17.445,1,8.700,18,3,- 0,43,28.452,
BUENOS AIRES,Campana,Lomas del Río Luján (Est. Río Luján),6126040,- 0,50,- 0,- 0,- 0,- 0,- 0,- 0,50,
BUENOS AIRES,Campana,Alto Los Cardales,6126010,- 0,- 0,- 0,80,- 0,- 0,- 0,41,121,
BUENOS AIRES,Campana,Barrio Los Pioneros,6126020,- 0,- 0,- 0,- 0,- 0,- 0,- 0,40,40,
BUENOS AIRES,Campana,Chacras Del Río Luján,6126035,- 0,- 0,- 0,- 0,- 0,- 0,- 0,35,35,
BUENOS AIRES,Cañuelas,Alejandro Petión,6134010,206,830,7,- 0,- 0,- 0,- 0,42,1.085,
BUENOS AIRES,Cañuelas,Barrio El Taladro,6134020,- 0,- 0,- 0,- 0,- 0,- 0,- 0,5,5,
BUENOS AIRES,Cañuelas,Cañuelas,6134030,1.228,5.116,33,2.261,- 0,1,- 0,526,9.165,
BUENOS AIRES,Cañuelas,Máximo Paz,6134050,- 0,2.692,- 0,2,- 0,- 0,- 0,270,2.964,
BUENOS AIRES,Cañuelas,Santa Rosa,6134060,- 0,- 0,- 0,- 0,- 0,2,- 0,233,235,
BUENOS AIRES,Cañuelas,Uribelarrea,6134070,60,- 0,- 0,403,- 0,- 0,- 0,20,483,
BUENOS AIRES,Cañuelas,Vicente Casares,6134080,228,- 0,2,- 0,- 0,- 0,- 0,25,255,
BUENOS AIRES,Cañuelas,Barrio Belgrano-Máximo Paz,6134030,- 0,- 0,- 0,- 0,- 0,- 0,- 0,48,48,
BUENOS AIRES,Cañuelas,Gobernador Udaondo,6134040,- 0,- 0,- 0,- 0,- 0,- 0,- 0,20,20,
BUENOS AIRES,Capitán Sarmiento,Capitán Sarmiento,6140010,180,4.011,- 0,- 0,- 0,- 0,- 0,89,4.280,
BUENOS AIRES,Capitán Sarmiento,La Luisa,6140020,- 0,- 0,- 0,- 0,- 0,- 0,- 0,44,44,
BUENOS AIRES,Carlos Casares,Cadret,6147020,- 0,- 0,- 0,- 0,1,- 0,- 0,48,49,
BUENOS AIRES,Carlos Casares,Carlos Casares,6147030,1.425,9,8,1.477,- 0,- 0,- 0,2.461,5.380,
BUENOS AIRES,Carlos Casares,La Sofía,6147060,- 0,- 0,- 0,- 0,- 0,- 0,- 0,1,1,
BUENOS AIRES,Carlos Casares,Moctezuma,6147080,- 0,- 0,- 0,- 0,- 0,- 0,- 0,152,152,
BUENOS AIRES,Carlos Casares,Santo Tomás,6147095,- 0,- 0,- 0,- 0,- 0,- 0,- 0,44,44,
BUENOS AIRES,Carlos Casares,Smith,6147100,- 0,- 0,- 0,- 0,- 0,- 0,- 0,191,191,
BUENOS AIRES,Carlos Casares,Mauricio Hirsch,6147070,- 0,- 0,- 0,- 0,- 0,- 0,- 0,47,47,
BUENOS AIRES,Carlos Casares,Bellocq,6147010,- 0,- 0,1,- 0,- 0,- 0,- 0,- 0,1,
BUENOS AIRES,Carlos Tejedor,Carlos Tejedor,6154010,15,476,1,68,- 0,- 0,- 0,1.188,1.748,
BUENOS AIRES,Carlos Tejedor,Colonia Seré,6154020,- 0,- 0,- 0,- 0,- 0,- 0,- 0,81,81,
BUENOS AIRES,Carlos Tejedor,Tres Algarrobos  (Est. Cuenca),6154050,- 0,- 0,- 0,- 0,- 0,1,- 0,198,199,
BUENOS AIRES,Carlos Tejedor,Curarú,6154030,- 0,- 0,- 0,- 0,- 0,- 0,- 0,16,16,
BUENOS AIRES,Carlos Tejedor,Timote,6154040,- 0,- 0,- 0,- 0,- 0,- 0,- 0,61,61,
BUENOS AIRES,Carmen de Areco,Carmen de Areco,6161010,388,1.707,5,- 0,1,- 0,- 0,905,3.006,
BUENOS AIRES,Carmen de Areco,Pueblo Gouin,6161020,- 0,- 0,- 0,- 0,- 0,- 0,- 0,31,31,
BUENOS AIRES,Carmen de Areco,Tres Sargentos,6161030,- 0,- 0,- 0,- 0,- 0,- 0,- 0,107,107,
BUENOS AIRES,Castelli,Castelli,6168010,67,1.109,- 0,1.121,- 0,2,- 0,28,2.327,
BUENOS AIRES,Castelli,Centro Guerrero,6168020,- 0,- 0,- 0,46,- 0,- 0,- 0,3,49,
BUENOS AIRES,Castelli,Cerro De La Gloria,6168030,- 0,- 0,- 0,7,- 0,- 0,- 0,- 0,7,
BUENOS AIRES,Chacabuco,Castilla,6210010,- 0,- 0,- 0,- 0,- 0,- 0,- 0,274,274,
BUENOS AIRES,Chacabuco,Chacabuco,6210020,925,9.896,16,14,16,- 0,- 0,2,10.869,
BUENOS AIRES,Chacabuco,O'Higgins,6210040,54,95,- 0,- 0,- 0,- 0,- 0,12,161,
BUENOS AIRES,Chacabuco,Rawson,6210050,73,- 0,- 0,303,28,- 0,- 0,128,532,
BUENOS AIRES,Chascomús,Chascomús,6217010,2.159,7.510,85,1.159,85,1,- 0,- 0,10.999,
BUENOS AIRES,Chascomús,Manuel J. Cobo  (Est. Lezama),6217020,104,1.718,- 0,- 0,- 0,- 0,444,- 0,2.266,
BUENOS AIRES,Chascomús,Barrio San Cayetano,6217020,- 0,- 0,- 0,132,- 0,- 0,- 0,- 0,132,
BUENOS AIRES,Chivilcoy,Chivilcoy,6224010,2.628,9.147,119,815,119,1,- 0,3.172,16.001,
BUENOS AIRES,Chivilcoy,La Rica,6224040,39,- 0,- 0,- 0,- 0,- 0,- 0,97,136,
BUENOS AIRES,Chivilcoy,Moquehuá,6224050,- 0,338,- 0,546,- 0,- 0,- 0,29,913,
BUENOS AIRES,Chivilcoy,Ramón Biaus,6224060,3,- 0,- 0,- 0,- 0,- 0,- 0,47,50,
BUENOS AIRES,Chivilcoy,San Sebastián,6224070,3,- 0,- 0,- 0,- 0,- 0,- 0,49,52,
BUENOS AIRES,Chivilcoy,Gorostiaga,6224030,55,- 0,- 0,- 0,- 0,- 0,- 0,2,57,
BUENOS AIRES,Colón,Colón,6175010,4.143,1.588,- 0,1.794,- 0,- 0,- 0,20,7.545,
BUENOS AIRES,Colón,Sarasa,6175040,- 0,- 0,- 0,- 0,- 0,- 0,- 0,15,15,
BUENOS AIRES,Coronel de Marina L. Rosales,Balneario Pehuen Co,6182020,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
BUENOS AIRES,Coronel de Marina L. Rosales,Punta Alta  (Est Almirante Solier),6182030,852,20.293,48,5,- 0,6,- 0,- 0,21.204,
BUENOS AIRES,Coronel de Marina L. Rosales,Villa General Arias  (Est. Kilómetro 638),6182050,- 0,- 0,- 0,- 0,- 0,- 0,- 0,10,10,
BUENOS AIRES,Coronel de Marina L. Rosales,Pago Chico,6182025,- 0,- 0,- 0,- 0,- 0,- 0,- 0,62,62,
BUENOS AIRES,Coronel de Marina L. Rosales,Bajo Hondo,6182010,- 0,- 0,- 0,- 0,- 0,- 0,- 0,74,74,
BUENOS AIRES,Coronel Dorrego,Coronel Dorrego,6189030,228,1.160,3,1,- 0,- 0,- 0,32,1.424,
BUENOS AIRES,Coronel Dorrego,El Perdido  (Est. José A. Guisasola),6189040,- 0,- 0,- 0,32,- 0,- 0,- 0,5,37,
BUENOS AIRES,Coronel Dorrego,Oriente,6189070,- 0,- 0,- 0,586,- 0,- 0,- 0,48,634,
BUENOS AIRES,Coronel Dorrego,Balneario Marisol,6189020,- 0,- 0,- 0,342,- 0,- 0,- 0,- 0,342,
BUENOS AIRES,Coronel Pringles,Coronel Pringles  (Est. Pringles),6196010,649,2.056,3,5,- 0,- 0,- 0,171,2.884,
BUENOS AIRES,Coronel Pringles,Indio Rico,6196040,- 0,- 0,1,24,- 0,- 0,- 0,3,28,
BUENOS AIRES,Coronel Suárez,Coronel Suárez,6203020,817,2.427,88,1.609,88,- 0,- 0,785,5.814,
BUENOS AIRES,Coronel Suárez,Huanguelén,6203050,- 0,- 0,1,1.384,- 0,- 0,- 0,527,1.912,
BUENOS AIRES,Coronel Suárez,Pasman,6203060,- 0,- 0,- 0,- 0,- 0,- 0,- 0,48,48,
BUENOS AIRES,Coronel Suárez,San José,6203070,- 0,45,- 0,706,- 0,- 0,- 0,- 0,751,
BUENOS AIRES,Coronel Suárez,Santa María,6203080,- 0,18,- 0,465,- 0,- 0,- 0,- 0,483,
BUENOS AIRES,Coronel Suárez,Santa Trinidad,6203090,- 0,65,- 0,550,- 0,- 0,- 0,- 0,615,
BUENOS AIRES,Coronel Suárez,Villa La Arcadia,6203100,- 0,104,- 0,72,- 0,- 0,- 0,- 0,176,
BUENOS AIRES,Daireaux,Daireaux,6231030,281,- 0,- 0,- 0,194,50,- 0,339,864,
BUENOS AIRES,Daireaux,Salazar,6231060,- 0,- 0,- 0,- 0,- 0,- 0,- 0,79,79,
BUENOS AIRES,Dolores,Dolores,6238010,1.575,10.215,1,8,- 0,- 0,325,- 0,12.124,
BUENOS AIRES,Dolores,Sevigne,6238020,- 0,- 0,- 0,- 0,- 0,- 0,- 0,1,1,
BUENOS AIRES,Ensenada,Ensenada,6245010,1.534,10.765,17,2.923,6,- 0,- 0,2.092,17.337,
BUENOS AIRES,Ensenada,Villa Catela,6245010,- 0,- 0,- 0,- 0,- 0,- 0,- 0,7,7,
BUENOS AIRES,Escobar,Belen de Escobar,6252010,2.964,17.071,21,8.652,333,1,- 0,97,29.139,
BUENOS AIRES,Escobar,El cazador,6252010,- 0,971,- 0,2.226,- 0,- 0,- 0,- 0,3.197,
BUENOS AIRES,Escobar,Garín,6252010,4.638,9.481,3,3.422,2,1,- 0,11,17.558,
BUENOS AIRES,Escobar,Ingeniero Maschwitz,6252010,1.126,4.227,3,2.969,1,- 0,- 0,300,8.626,
BUENOS AIRES,Escobar,Loma Verde,6252010,- 0,- 0,- 0,999,- 0,- 0,- 0,- 0,999,
BUENOS AIRES,Escobar,Maquinista F. Savio (este),6252010,533,4.392,- 0,13,2,- 0,- 0,14,4.954,
BUENOS AIRES,Escobar,Matheu,6252010,1.390,2.515,2,1,3,1,- 0,58,3.970,
BUENOS AIRES,Esteban Echeverría,9 De Abril,6260010,237,6.483,6,12,1,- 0,- 0,153,6.892,
BUENOS AIRES,Esteban Echeverría,Canning,6260010,3,3.488,- 0,1.049,1,- 0,- 0,94,4.635,
BUENOS AIRES,Esteban Echeverría,El Jagüel,6260010,- 0,6.691,- 0,5,2,1,- 0,89,6.788,
BUENOS AIRES,Esteban Echeverría,Luis Guillón,6260010,4,7.207,2,1.757,1,- 0,- 0,77,9.048,
BUENOS AIRES,Esteban Echeverría,Monte Grande,6260010,211,27.688,61,24.799,70,4,- 0,312,53.145,
BUENOS AIRES,Esteban Echeverría,Zona Aeropuerto Internacional Ezeiza,6260010,2,- 0,- 0,- 0,- 0,- 0,- 0,- 0,2,
BUENOS AIRES,Exaltación de la Cruz,Arroyo de la Cruz,6266010,- 0,- 0,- 0,- 0,- 0,- 0,- 0,92,92,
BUENOS AIRES,Exaltación de la Cruz,Capilla del Señor  (Est. Capilla),6266020,359,- 0,6,82,- 0,- 0,- 0,- 0,447,
BUENOS AIRES,Exaltación de la Cruz,Los Cardales,6266040,2,7.166,2,- 0,- 0,1,- 0,- 0,7.171,
BUENOS AIRES,Exaltación de la Cruz,OTROS,Sin Datos,- 0,- 0,- 0,- 0,- 0,- 0,- 0,84,84,
BUENOS AIRES,Exaltación de la Cruz,Parada Orlando,6266050,- 0,- 0,- 0,- 0,- 0,1,- 0,30,31,
BUENOS AIRES,Exaltación de la Cruz,Parada Robles - Pavón,6266060,2.709,- 0,- 0,235,- 0,- 0,- 0,- 0,2.944,
BUENOS AIRES,Ezeiza,Aeropuerto Internacional Ezeiza,6270010,224,- 0,3,4,- 0,1,- 0,- 0,232,
BUENOS AIRES,Ezeiza,Canning,6270010,194,1.722,1,1.030,1,- 0,- 0,50,2.998,
BUENOS AIRES,Ezeiza,Carlos Spegazzini,6270010,343,5.545,2,1.349,164,1,- 0,1,7.405,
BUENOS AIRES,Ezeiza,José Maria Ezeiza,6270010,540,13.930,13,4.959,- 0,2,- 0,92,19.536,
BUENOS AIRES,Ezeiza,La Unión,6270010,107,9.052,1,823,- 0,2,- 0,- 0,9.985,
BUENOS AIRES,Ezeiza,OTROS,Sin Datos,3,1,- 0,5,- 0,- 0,- 0,- 0,9,
BUENOS AIRES,Ezeiza,Tristán Suarez,6270010,571,10.640,5,982,18,- 0,- 0,4,12.220,
BUENOS AIRES,Florencio Varela,Bosques,6274010,35,7.673,3,3.293,13,- 0,- 0,266,11.283,
BUENOS AIRES,Florencio Varela,Estanislao Severo Zeballos,6274010,7,2.482,4,3.935,- 0,- 0,- 0,- 0,6.428,
BUENOS AIRES,Florencio Varela,Florencio Varela,6274010,661,18.474,30,22.792,263,3,- 0,810,43.033,
BUENOS AIRES,Florencio Varela,Gobernador Julio A. Costa,6274010,13,7.558,6,471,- 0,- 0,- 0,- 0,8.048,
BUENOS AIRES,Florencio Varela,Ingeniero Juan Allan,6274010,2.505,5.087,- 0,907,- 0,- 0,- 0,- 0,8.499,
BUENOS AIRES,Florencio Varela,La Capilla,6274010,- 0,- 0,- 0,4,- 0,- 0,- 0,- 0,4,
BUENOS AIRES,Florencio Varela,la rotonda,6274010,357,- 0,- 0,- 0,- 0,- 0,- 0,- 0,357,
BUENOS AIRES,Florencio Varela,Villa Brown,6274010,- 0,85,- 0,264,- 0,- 0,- 0,- 0,349,
BUENOS AIRES,Florencio Varela,Villa San Luis,6274010,- 0,350,- 0,- 0,- 0,- 0,- 0,- 0,350,
BUENOS AIRES,Florencio Varela,Villa Santa Rosa,6274010,31,4.100,1,226,- 0,- 0,- 0,- 0,4.358,
BUENOS AIRES,Florencio Varela,Villa Vatteone,6274010,12,4.586,1,2.184,- 0,- 0,- 0,- 0,6.783,
BUENOS AIRES,Florentino Ameghino,Blaquier,6277010,- 0,- 0,- 0,- 0,- 0,1,- 0,5,6,
BUENOS AIRES,Florentino Ameghino,Florentino Ameghino,6277020,117,- 0,- 0,297,- 0,- 0,- 0,- 0,414,
BUENOS AIRES,Florentino Ameghino,Porvenir,6277030,- 0,- 0,- 0,- 0,- 0,- 0,- 0,2,2,
BUENOS AIRES,General Alvarado,Comandante Nicanor Otamendi,6280010,- 0,- 0,3,930,- 0,1,- 0,31,965,
BUENOS AIRES,General Alvarado,Mar del Sur,6280020,- 0,- 0,2,- 0,- 0,- 0,- 0,142,144,
BUENOS AIRES,General Alvarado,Mechongué,6280030,256,- 0,- 0,- 0,- 0,- 0,- 0,3,259,
BUENOS AIRES,General Alvarado,Miramar,6280040,4.888,1.584,74,1,76,1,- 0,957,7.581,
BUENOS AIRES,General Alvarado,Centinela Del Mar,6280005,- 0,- 0,- 0,- 0,- 0,- 0,- 0,1,1,
BUENOS AIRES,General Arenales,Arribeños,6294010,305,301,1,144,15,- 0,- 0,261,1.027,
BUENOS AIRES,General Arenales,Ascensión,6294020,1.200,505,- 0,- 0,250,- 0,- 0,139,2.094,
BUENOS AIRES,General Arenales,Ferré,6294040,- 0,152,- 0,282,- 0,- 0,- 0,441,875,
BUENOS AIRES,General Arenales,General Arenales,6294050,- 0,883,1,99,- 0,- 0,- 0,512,1.495,
